rank,MAE,RAE,R2,Spearman,Kendall,N,file
1,0.4463581959541695,0.5588818850742461,0.5463944012947232,0.8491588753316864,0.6576673268736493,253,blend3_um8f35_cp35_um2930.csv
2,0.4463581959541695,0.5588818850742461,0.5463944012947232,0.8491588753316864,0.6576673268736493,253,blend3_um8f35_cp35_um2930.csv
3,0.4463581959541695,0.5588818850742461,0.5463944012947232,0.8491588753316864,0.6576673268736493,253,final_blend_submission.csv
4,0.44643518125703746,0.5589782778179659,0.5457325083946148,0.849062912993379,0.6572906020694828,253,blend3_um8f33_cp33_um2934.csv
5,0.44645941946771955,0.5590086263071381,0.5455448294179535,0.8488895138647,0.6572906020694828,253,blend3_um8f32_cp32_um2935.csv
6,0.44654723328866996,0.5591185773604249,0.5454737641183924,0.8494060061411499,0.6585463514167045,253,blend3_um8f35_cp45_um2920.csv
7,0.44654723328866996,0.5591185773604249,0.5454737641183924,0.8494060061411499,0.6585463514167045,253,um8f35_cp45_um2948_20.csv
8,0.4466345938977081,0.5592279609503377,0.5474273724992351,0.8492574312467049,0.658985863688232,253,blend3_um8f40_cp40_um2920.csv
9,0.44679228179695074,0.5594254008342268,0.5435784723032044,0.8491707316823653,0.6582952015472601,253,blend3_um8f28_cp32_um2940.csv
10,0.446832918229355,0.5594762814188124,0.5432329313836349,0.8485994037840254,0.6577929018083714,253,blend3_um8f30_cp50_um2920.csv
11,0.44684623337993495,0.5594929532230353,0.5444732000248415,0.8480903217267498,0.6564115775264276,253,blend3_um8f30_cp30_um2940.csv
12,0.4468504116285284,0.5594981847780316,0.5466583273246592,0.8486512753182457,0.6577301143410104,253,um8f40_cp45_um2948_15.csv
13,0.4470128993963336,0.5597016345428071,0.5445380200545867,0.8483018834841766,0.6584207764819823,253,um8f35_cp50_um2948_15.csv
14,0.4470583206812015,0.5597585062067297,0.5452961216579996,0.8484415661156125,0.6569138772653162,253,blend3_um8f32_cp28_um2940.csv
15,0.4472527324046,0.5600019277265726,0.5490937565261631,0.8487535363428512,0.6574789644715661,253,um8f45_cp35_um2948_20.csv
16,0.4472527324046,0.5600019277265726,0.5490937565261631,0.8487535363428512,0.6574789644715661,253,blend3_um8f45_cp35_um2920.csv
17,0.4473307156151952,0.5600995699433767,0.5477716640465846,0.8499450995860818,0.658985863688232,253,um8f35_cp35_um2948_20_um15f10.csv
18,0.4473588669308194,0.5601348180030874,0.5422963287498863,0.8473952431681987,0.6565999399285108,253,blend3_um8f25_cp30_um2945.csv
19,0.4473752698701056,0.560155356005329,0.5484914102408169,0.8488102245195347,0.6584835639493433,253,um8f45_cp40_um2948_15.csv
20,0.4473893423613271,0.560172976070319,0.5472285626544082,0.8501173871818845,0.6595509508944817,253,um8f35_cp40_um2948_15_um15f10.csv
21,0.4474020634107515,0.5601889040047602,0.5431795131153869,0.8476875763146255,0.6569138772653162,253,blend3_um8f28_cp28_um2945.csv
22,0.44744656289151513,0.5602446214843975,0.5455723318329899,0.8475590090119511,0.6570394522000385,253,blend3_um8f40_cp50_um2910.csv
23,0.4476110624787478,0.5604505902338006,0.5475721136383775,0.8483941407128969,0.6579184767430936,253,blend3_um8f45_cp45_um2910.csv
24,0.4476397519102865,0.5604865120645754,0.543990891392409,0.8472922411216757,0.6565371524611499,253,blend3_um8f30_cp25_um2945.csv
25,0.44792885353330997,0.560848494126332,0.550472916199176,0.8485545719580208,0.6569138772653162,253,blend3_um8f50_cp30_um2920.csv
26,0.44801531329596883,0.5609567497729759,0.5416637686895902,0.8465097219768677,0.6560348527222611,253,blend3_um8f25_cp25_um2950.csv
27,0.4480551969688522,0.5610066878327825,0.55003726880306,0.8484074791074107,0.6577929018083714,253,um8f50_cp35_um2948_15.csv
28,0.4480762401391143,0.561033035834837,0.548824510576998,0.8491870341645489,0.6580440516778158,253,um8f40_cp35_um2948_15_um15f10.csv
29,0.4481357574695692,0.5611075570560013,0.5481300715881126,0.8502296520023754,0.6594253759597595,253,um8f35_cp35_um2948_15_um15f15.csv
30,0.4481459520248001,0.5611203215852439,0.5398486805823823,0.8459810028387802,0.6559720652549,253,blend3_um8f20_cp30_um2950.csv
31,0.44814876410699545,0.5611238425731245,0.5481829115047196,0.8494708455589253,0.6583579890146212,253,um8f38_cp38_um2948_12_um15f12.csv
32,0.4481966582876859,0.5611838105321112,0.5481311577569579,0.8493808113959572,0.6586719263514266,253,um8f40_cp40_um2948_10_um15f10.csv
33,0.448205478664572,0.5611948544625371,0.5492846710898504,0.8477820566090981,0.6584207764819823,253,blend3_um8f50_cp40_um2910.csv
34,0.44858914531582506,0.5616752407156316,0.5431916324428829,0.8461266136455554,0.6560976401896221,253,blend3_um8f30_cp20_um2950.csv
35,0.44893728968456886,0.5621111497744214,0.5489668083527354,0.8498043054217694,0.658985863688232,253,um8f40_cp35_um2948_10_um15f15.csv
36,0.449010271123923,0.5622025293094483,0.5482683299067053,0.8497561389971364,0.6588602887535098,253,um8f35_cp35_um2948_10_um15f20.csv
37,0.44901837497797487,0.5622126760867896,0.5468286247121503,0.8439368938795445,0.6533349916257347,253,blend_unimol5_chemprop5.csv
38,0.4490661391278261,0.5622724812350983,0.5445237512834323,0.84822296464997,0.6577929018083714,253,um8f30_cp50_um15f20.csv
39,0.4492394247100412,0.5624894508655932,0.5424494898983703,0.8433077662716448,0.6527699044194849,253,blend_unimol4_chemprop6.csv
40,0.4492773393571532,0.562536923522401,0.5476024214019615,0.8465756729275191,0.6569766647326774,253,um8f45_cp45_um15f10.csv
41,0.4494272915715159,0.5627246776109195,0.5438034959376661,0.8474045059421667,0.6562860025917054,253,blend4_um8f25_cp25_um2948_20_v3_30.csv
42,0.4495000716034406,0.5628158049651532,0.5435017032898546,0.8470643768820654,0.6557837028528168,253,blend4_um8f245_cp245_um2948_21_v3_30.csv
43,0.44952560812061826,0.5628477790545455,0.5463101809152684,0.8487090750278053,0.6569138772653162,253,blend4_um8f30_cp30_um2948_10_v3_30.csv
44,0.44992306014631633,0.5633454258757804,0.5500588621102712,0.8441510492136822,0.6541512287014287,253,blend_unimol6_chemprop4.csv
45,0.4499771074605131,0.5634130981289514,0.543193599399733,0.8476916519351714,0.656725514863233,253,blend_v3_70_50_cp25_um8f25.csv
46,0.45009974196246705,0.5635666479063463,0.5479543461229397,0.8473511523641114,0.656662727395872,253,um8f40_cp40_um15f20.csv
47,0.45034553328876065,0.5638744014572364,0.5478873358919369,0.8488280090455532,0.6564743649937886,253,blend3_um8f35_cp35_v3_30.csv
48,0.45034553328876065,0.5638744014572364,0.5478873358919369,0.8488280090455532,0.6564743649937886,253,blend3_um8f35_cp35_v3_30_nodrop.csv
49,0.45043164689772924,0.5639822236873359,0.536921457668931,0.8392895749243708,0.6483747817042091,253,blend_unimol3_chemprop7.csv
50,0.4512498700241018,0.5650067149757749,0.5478843988750849,0.8474159917818869,0.6556581279180946,253,um8f35_cp35_um15f30.csv
51,0.4513294345585365,0.5651063371567789,0.5383340686068128,0.8448209330270404,0.6547791033750395,253,blend_v3_70_50_best3_50.csv
52,0.45140297419032027,0.5651984156005299,0.5521402020927328,0.8430083934170023,0.6515141550722633,253,blend_unimol7_chemprop3.csv
53,0.45175976576882354,0.5656451517684326,0.5502360435467879,0.8464863797864686,0.6547791033750395,253,um8f50_cp30_um15f20.csv
54,0.45294918256469985,0.5671344119792758,0.5302445280238322,0.8335955625108248,0.6432262093806005,253,blend_unimol2_chemprop8.csv
55,0.4530323034132731,0.5672384869956207,0.5354674314236468,0.8469117263670746,0.6563487900590665,253,blend4_um8f30_cp30_um2948_20_t3_20.csv
56,0.4537953052762455,0.5681938361375394,0.5530726446595352,0.8407823635770371,0.6491910187799033,253,blend_unimol8_chemprop1.csv
57,0.454593351085635,0.5691930635525838,0.5421169428414623,0.8188232905868214,0.627466555072969,253,predictions_seed456.csv
58,0.45656420283095833,0.5716607528402726,0.5224187009630741,0.8262783415871442,0.6349382636889377,253,blend_unimol1_chemprop9.csv
59,0.45757149367634864,0.5729219744591258,0.5528561898106783,0.8376152359019335,0.6453609832708773,253,blend_unimol9_chemprop0.csv
60,0.4597005335776268,0.575587729998533,0.5209904651855763,0.8314110298982356,0.6427239096417119,253,predictions_blend_unimol_v4_3_70.csv
61,0.46125855933400794,0.577538522836243,0.513443976486657,0.817220830690375,0.6261480182583863,253,predictions_pec50_pxr_v4_3_3_nw.csv
62,0.4616758980237155,0.5780610696063758,0.551490837546162,0.8330197884809801,0.6392705989368523,253,predictions_unimol_8fold_raw.csv
63,0.4637234296442688,0.5806247692140368,0.5142931610327891,0.8256903406956619,0.6377009122528253,253,predictions_unimol_7fold.csv
64,0.4639507177865613,0.5809093550613917,0.5355823530127741,0.8364729506162124,0.6410286480229627,253,predictions_unimol_15fold_raw.csv
65,0.4641980179651109,0.5812189978353337,0.526382929178322,0.8109621595757458,0.6252062062479701,253,predictions_seed123.csv
66,0.4665688163960344,0.5841874574899687,0.530977139716607,0.8203849942778089,0.6277177049424133,253,predictions_pec50_pxr_v4_3_4.csv
67,0.46724473436122693,0.5850337695101498,0.5448312181514595,0.799933530378608,0.6082535900604781,253,predictions_pec50_pxr_v4_3_3_7_one.csv
68,0.468822478136897,0.5870092511379167,0.4969466031705515,0.8068513404887928,0.6125859253083926,253,predictions_pec50_pxr_v4_3_679.csv
69,0.46951475569161666,0.5878760468824179,0.520121652750791,0.8135123865045876,0.6216901080757495,253,predictions_pec50_pxr_v4_3_3_15.csv
70,0.47009560451960153,0.5886033235200372,0.5209143822299913,0.8178521813640269,0.6260852307910252,253,predictions_pec50_pxr_v4_3_3_5.csv
71,0.47009560451960153,0.5886033235200372,0.5209143822299913,0.8178521813640269,0.6260852307910252,253,predictions_pec50_pxr_v4_3_3_10fold.csv
72,0.4723179142337009,0.5913858615208902,0.499412487028292,0.8140807503152577,0.624327181704915,253,predictions_blended_v4_3_0_plus_1.csv
73,0.4737659246143921,0.5931989048983907,0.4822949126903002,0.8154134782337589,0.6228202824882489,253,predictions_pec50_pxr_v4_3_5.csv
74,0.4742221685338531,0.5937701646267283,0.500396430602422,0.8111036947619754,0.6184251597729732,253,predictions_pec50_pxr_v4_3_20f.csv
75,0.474436497106844,0.5940385238906202,0.5073979694650695,0.8092500284355197,0.6212505958042219,253,predictions_pec50_pxr_v4_3_3748.csv
76,0.474436497106844,0.5940385238906202,0.5073979694650695,0.8092500284355197,0.6212505958042219,253,predictions_pec50_pxr_v4_3_1.csv
77,0.4746083982479617,0.5942537600723798,0.5025108663402372,0.8098198742900248,0.6196809091201949,253,predictions_seed789.csv
78,0.4766504465385985,0.5968105940421115,0.5077804993706456,0.8142311777644963,0.6196809091201949,253,predictions_pec50_pxr_v4_3_3733.csv
79,0.47868259604743085,0.5993550338183793,0.526068198199031,0.8270260327018328,0.6338080892764383,253,predictions_unimol_12fold_raw.csv
80,0.47906893005711554,0.5998387598517712,0.47294641998703235,0.8082040759990646,0.6175461352299182,253,predictions_pec50_pxr_v4_3_0.csv
81,0.4800021451094813,0.6010072317032422,0.4947867114328419,0.8114871736042463,0.6167298981542241,253,predictions_pec50_pxr_v4_3_3_7_cleantrain.csv
82,0.4804101435640292,0.6015180836321458,0.5014995469252299,0.8135186851908855,0.6154741488070025,253,predictions_pec50_pxr_v4_3_4054.csv
83,0.4818821139381983,0.6033611271450592,0.5055705785418485,0.8220641499427095,0.6269014678667193,253,predictions_pec50_pxr_v4_3_3_7fold.csv
84,0.4851510820027417,0.6074541785345471,0.4734516815495998,0.8087805910508264,0.6147834866660306,253,predictions_pec50_pxr_v4_3.csv
85,0.48576698058355333,0.608225340715456,0.45509624260189363,0.787376913987726,0.6032305926715915,253,predictions_pec50_pxr_v4_3_2.csv
86,0.4936040934083962,0.6180381332860609,0.465399711210457,0.7900586723069116,0.5979564454132607,253,predictions_pec50_pxr_v4_3_6.csv
87,0.4947547200870952,0.6194788246703277,0.46138852808830866,0.7714045570684418,0.5871570010271546,253,predictions_pec50_pxr_v4_3_3.csv
88,0.5031622249011858,0.6300058009460185,0.46137675310919646,0.8015719298380499,0.608190802593117,253,predictions_unimol_4fold_train3_raw.csv
89,0.5041918308398586,0.6312949631325873,0.41090612273358873,0.7456822042705484,0.5686346981556355,253,predictions_pec50_pxr_v4_3_comb.csv
90,0.5093545723932426,0.6377591946794918,0.48127516279252347,0.8068128073490864,0.6087558897993667,253,predictions_pec50_pxr_v4_3_3_7_all.csv
91,0.5130075325796255,0.6423330398414534,0.4155181715971552,0.7324871974977988,0.5469730219160623,253,predictions_pec50_pxr_full_retrain.csv
92,0.5237828703265888,0.6558247626930102,0.43162487154507667,0.6977869936592602,0.5213557352327411,253,predictions_pec50_pxr_full_retrain_70ep.csv
